OID_,Id,x_cord,y_cord
215,0,-95.39995433,29.48235874
216,0,-95.39841454,29.71268611
217,0,-95.39515851,29.71687183
218,0,-95.39270348,29.68051041
219,0,-95.38863454,29.00438697
220,0,-95.38748361,29.72570834
221,0,-95.38712213,29.55596177
222,0,-95.38657092,29.64362167
223,0,-95.38640147,29.69888416
224,0,-95.38581037,29.59727553
225,0,-95.38562303,29.732452
226,0,-95.38446016,29.72989406
227,0,-95.38395495,29.7057413
228,0,-95.38376244,29.73175438
229,0,-95.38259958,29.73175438
230,0,-95.38120414,29.71431389
231,0,-95.38120414,29.74361391
232,0,-95.380739,29.73291708
233,0,-95.38066243,29.68068936
234,0,-95.38063005,29.93874281
235,0,-95.37928235,29.9574919
236,0,-95.37706379,28.94642825
237,0,-95.37452639,29.81372157
238,0,-95.37419953,29.70126988
239,0,-95.37042185,29.76345141
240,0,-95.37011066,29.7334961
241,0,-95.36918577,29.74807577
242,0,-95.36849976,29.77648736
243,0,-95.36502581,29.76999612
244,0,-95.36450506,29.87040742
245,0,-95.36401425,29.75460015
246,0,-95.36190624,29.74450401
247,0,-95.358412,29.76151948
248,0,-95.35569519,29.64774313
249,0,-95.35512693,29.68047633
250,0,-95.35508917,29.76800956
251,0,-95.35261148,29.59843304
252,0,-95.35101393,29.7577632
253,0,-95.350894,29.81369141
254,0,-95.35040674,29.76304625
255,0,-95.3498185,29.55897725
256,0,-95.34935336,29.77007385
257,0,-95.3472485,28.93832832
258,0,-95.34721199,29.7041271
259,0,-95.34608564,29.76965838
260,0,-95.34538792,29.76710044
261,0,-95.34282962,29.76872822
262,0,-95.34003874,29.76965838
263,0,-95.33794559,29.80872508
264,0,-95.33724787,29.80616714
265,0,-95.3370153,29.72826628
266,0,-95.33561986,29.72826628
267,0,-95.33561986,29.80802746
268,0,-95.33515471,29.72873136
269,0,-95.33515471,29.80826
270,0,-95.33468957,30.73795443
271,0,-95.33236085,29.70979287
272,0,-95.33189869,29.90220611
273,0,-95.33135405,29.95309612
274,0,-95.330831,29.73756243
275,0,-95.33062973,29.93918554
276,0,-95.32918425,29.87022649
277,0,-95.31726128,29.8910442
278,0,-95.31631631,29.80942226
279,0,-95.31494404,29.7150371
280,0,-95.31467073,29.76356578
281,0,-95.31456085,29.77430652
282,0,-95.30515281,29.73524248
283,0,-95.29959707,29.92944105
284,0,-95.29794305,29.93987757
285,0,-95.29608247,29.93778471
286,0,-95.29515218,29.93964503
287,0,-95.2949196,29.93987757
288,0,-95.29398931,29.94220297
289,0,-95.29396112,29.75682218
290,0,-95.29259388,29.94034265
291,0,-95.29119844,29.6968734
292,0,-95.29103944,29.77800395
293,0,-95.29073329,29.69757102
294,0,-95.28815769,29.65601637
295,0,-95.28654698,29.6968734
296,0,-95.28577818,29.60008345
297,0,-95.28532441,29.56356935
298,0,-95.28325839,29.77797706
299,0,-95.28166295,29.71594167
300,0,-95.27649012,29.68461592
301,0,-95.27636418,29.98246389
302,0,-95.27608193,29.65801812
303,0,-95.27455468,29.98668587
304,0,-95.27090488,29.79687836
305,0,-95.26738601,30.00499598
306,0,-95.26659845,29.70971656
307,0,-95.26450986,29.73798285
308,0,-95.26344846,29.77540718
309,0,-95.26216505,29.66970663
310,0,-95.26119654,29.87197592
311,0,-95.25641097,29.77481568
312,0,-95.25138662,30.05253768
313,0,-95.25096333,29.39061838
314,0,-95.25086478,29.65238238
315,0,-95.24445129,29.44107953
316,0,-95.24133205,29.6700676
317,0,-95.23815543,29.44760863
318,0,-95.23489164,29.66305213
319,0,-95.22830844,30.12922245
320,0,-95.22820705,29.62785573
321,0,-95.2265267,29.42316787
322,0,-95.21934007,29.71045857
323,0,-95.21828506,29.80387092
324,0,-95.21269869,29.77086294
325,0,-95.21130736,29.73251384
326,0,-95.21099478,29.71436836
327,0,-95.21099146,29.7181425
328,0,-95.21083643,29.7110691
329,0,-95.21037099,29.63693713
330,0,-95.21017998,29.83218579
331,0,-95.2100305,30.32589376
332,0,-95.20884119,29.71106603
333,0,-95.20811836,29.68777036
334,0,-95.20713817,29.66489043
335,0,-95.20695198,29.81665985
336,0,-95.20630934,29.60757808
337,0,-95.20607677,29.60571776
338,0,-95.20584419,29.60641538
339,0,-95.20421618,29.60641538
340,0,-95.20328589,29.60525268
341,0,-95.20328589,29.60781062
342,0,-95.20282074,29.60525268
343,0,-95.20266376,29.89051213
344,0,-95.20258817,29.60804316
345,0,-95.2023094,29.89567217
346,0,-95.19660686,29.71228018
347,0,-95.1916581,29.61616294
348,0,-95.18781147,29.50906622
349,0,-95.18498249,29.8426444
350,0,-95.18305205,30.05056655
351,0,-95.1748858,29.83260249
352,0,-95.15491073,29.77175124
353,0,-95.15491073,29.66547132
354,0,-95.1539246,29.68333473
355,0,-95.15309812,29.71219606
356,0,-95.15188728,29.77082108
357,0,-95.15025927,29.76896076
358,0,-95.14956156,29.7715187
359,0,-95.14043969,29.5401544
360,0,-95.13216863,29.66373219
361,0,-95.13196438,30.33089466
362,0,-95.13030829,29.52876647
363,0,-95.12794855,29.54877152
364,0,-95.12439451,29.52158762
365,0,-95.11741329,29.53747221
366,0,-95.11363773,29.50318185
367,0,-95.11202548,29.54102672
368,0,-95.10965146,29.52956203
369,0,-95.10524571,30.31358324
370,0,-95.1046805,29.48866823
371,0,-95.09894045,30.33596299
372,0,-95.098392,30.32606307
373,0,-95.09468907,29.50749998
374,0,-95.09267542,30.33617632
375,0,-95.08983868,29.46584676
376,0,-95.08936924,30.34292435
377,0,-95.08869142,29.37258916
378,0,-95.08023693,29.491911
379,0,-95.07606853,30.3663557
380,0,-95.07513823,30.36542554
381,0,-95.07444052,30.36705332
382,0,-95.06955649,29.60222967
383,0,-95.06934523,29.48021124
384,0,-95.06816105,29.60222967
385,0,-95.06443988,29.884068
386,0,-95.06374216,29.88430054
387,0,-95.06327702,29.8829053
388,0,-95.06281187,29.8829053
389,0,-95.06281187,29.88337038
390,0,-95.06234673,29.88499816
391,0,-95.0597053,30.3334317
392,0,-95.05885813,30.39402795
393,0,-95.05716092,29.79091752
394,0,-95.04957703,29.79059263
395,0,-95.04631068,29.69065682
396,0,-95.04557586,29.66506616
397,0,-95.03660659,29.40703842
398,0,-95.0299078,29.68818287
399,0,-95.02854105,29.66554831
400,0,-95.02809509,29.58830695
401,0,-95.02530697,29.56368245
402,0,-95.01740961,29.53815475
403,0,-95.01040113,29.5259657
404,0,-95.0054168,29.37698904
405,0,-94.99964788,29.71379146
406,0,-94.99591198,30.31904145
407,0,-94.99456222,29.4989903
408,0,-94.98609068,29.39586727
409,0,-94.98562154,29.74693447
410,0,-94.97652733,29.73500994
411,0,-94.96959962,29.37899208
412,0,-94.9604129,29.72122156
413,0,-94.95579295,29.40781456
414,0,-94.9502774,29.37892411
415,0,-94.95021976,29.39526139
416,0,-94.94199248,29.34923508
417,0,-94.94193928,29.7550976
418,0,-94.93269456,29.33006964
419,0,-94.93066743,29.33685555
420,0,-94.91587658,29.72713844
421,0,-94.9151281,29.67059639
422,0,-94.90185769,29.39340857
423,0,-94.90158385,29.38411089
424,0,-94.89848327,29.82144109
425,0,-94.89201832,30.04204158
426,0,-94.88966899,30.04353942
427,0,-94.86489845,29.82423505
428,0,-94.86199782,29.28546476
429,0,-94.83727419,29.28860633
430,0,-94.82533016,29.26659765
431,0,-94.77907296,29.36224851
432,0,-94.77325864,29.30457862
433,0,-94.77279349,29.32783261
434,0,-94.77232835,29.30364846
435,0,-94.7718632,29.30527624
436,0,-94.77050576,29.31419667
437,0,-94.6458087,30.25334132
438,0,-94.44160972,30.03289352
439,0,-94.39008817,29.82767558
440,0,-94.38322926,29.82692008
441,0,-94.35555775,29.82546795
442,0,-94.34020794,29.87290608
