,household_ID,x_cord,y_cord,road_ID,Distance,resident_count,departure_time,type
770,29941.0,-95.31662729759037,29.103514244319065,219.0,14953.272052730239,1,143,0
771,29873.0,-95.26744147971623,29.056224514535447,219.0,15018.891127175008,1,615,1
772,23972.0,-95.50351915050618,28.943901788485533,236.0,14080.6142715886,4,476,1
773,5776.0,-94.82376585878009,29.289061819296318,429.0,1504.863716651995,4,435,2
774,17584.0,-94.86378056301794,29.26590157827213,428.0,2504.517435079694,3,289,1
775,14936.0,-94.83105524264465,29.266240920546736,430.0,638.9366846289923,3,596,1
776,28336.0,-96.20914300792997,28.785751283524803,3.0,46320.9586333358,6,608,0
777,27196.0,-96.24033569013912,28.761553295378825,3.0,46979.39713362693,3,83,2
778,29200.0,-96.1239821773113,28.720708894303577,3.0,58649.11604733759,1,146,0
779,13123.0,-94.83105737704177,29.275433058457672,430.0,1295.287633737116,4,522,1
780,5383.0,-94.8098674894202,29.29094019064723,429.0,3065.4078958039822,3,429,2
781,3406.0,-94.78785019592978,29.299464759447684,432.0,1750.5923905349614,2,635,2
782,9454.0,-94.80441914613658,29.299916672126272,432.0,3519.450678724651,2,337,2
783,20918.0,-94.61591100124245,29.46278164210397,431.0,22247.461451042396,1,101,1
784,8384.0,-94.83126400662512,29.28555576349204,429.0,774.0969444469605,4,304,1
785,16906.0,-94.84752915019608,29.263619285588973,430.0,2500.2348715596318,4,272,0
786,3881.0,-94.7869902683527,29.292919673707548,434.0,2130.605996111345,3,674,2
787,5075.0,-94.81268971217528,29.29258759877005,429.0,2783.509643786805,4,19,0
788,126.0,-94.79464729583214,29.289059400702566,432.0,3097.2984406121013,2,560,0
789,5875.0,-94.81611318902813,29.291886833224705,429.0,2392.55569718612,3,642,0
790,23895.0,-95.4738078935068,28.852634645086276,236.0,16069.154144476965,4,566,1
791,24949.0,-95.43773432030426,28.855813577080905,236.0,13355.725360318656,4,269,1
792,2118.0,-94.77254812000524,29.328652172060266,433.0,108.15207559835008,6,29,2
793,23571.0,-95.29937291036391,28.934528537048358,257.0,5351.358128386628,1,426,0
794,9545.0,-94.8006093532874,29.299354952161078,432.0,3116.8317468546284,4,385,0
795,28235.0,-96.14790545778109,28.769335445094285,3.0,52202.83949826319,6,431,0
796,13429.0,-94.82648039060061,29.27215790530726,430.0,721.0140181552874,5,234,0
797,27315.0,-96.19014037609142,28.682805259862864,3.0,58428.758080336906,2,61,2
798,22837.0,-95.35906029981074,28.89470225717912,257.0,5701.826757158767,3,582,2
799,19124.0,-94.91448403605557,29.236511418881896,428.0,8553.14922700924,6,712,0
800,24905.0,-95.53888343192669,28.932975558507298,236.0,18094.777159093326,2,470,2
801,4139.0,-94.81154702459116,29.28173734592104,430.0,2467.2154233026263,2,207,2
802,28099.0,-96.14283849514966,28.73122703869544,3.0,56297.6138590189,2,67,0
803,16188.0,-94.87399321932726,29.28140999617747,428.0,1432.0948057060964,4,350,1
804,6743.0,-94.81398679230897,29.28350089243607,430.0,2499.577664779304,4,319,0
805,4114.0,-94.80855753014029,29.28013784352799,430.0,2544.0053748810465,5,355,1
806,10192.0,-94.77756849061615,29.31066688000192,436.0,906.2065926489798,1,189,0
807,787.0,-94.79350513466078,29.295894899078036,432.0,2511.6670617658406,4,422,0
808,10143.0,-94.78189191678861,29.308061867487968,432.0,1058.9363860578792,8,661,1
809,20210.0,-95.0901727969422,29.108254696723478,418.0,33283.161160524236,1,320,1
810,8874.0,-94.79864659008713,29.302327039057438,432.0,2840.751685762901,1,497,1
811,24348.0,-95.46422874440721,28.878012179868993,236.0,13032.620299001446,3,87,1
812,25395.0,-95.52746618333039,28.865006802256037,236.0,19685.467565568608,4,705,2
813,13244.0,-94.83153591947509,29.269018861919474,430.0,756.7678029449548,3,497,1
814,28999.0,-96.32063969113929,28.697865188142305,3.0,50792.52879499042,1,184,2
815,11316.0,-94.77980912429334,29.306705233642067,432.0,778.0920225157623,3,720,1
816,21566.0,-94.722567507802,29.40117343664896,431.0,8018.371602122367,3,592,1
817,33029.0,-95.30746360852991,28.998400067199153,257.0,8833.849838369451,1,512,1
818,24587.0,-95.497745768905,28.86081060814835,236.0,17291.83594030634,0,204,0
819,18747.0,-94.85219918233776,29.263468235806997,428.0,3011.6269231155193,7,517,2
820,14760.0,-94.82857786426253,29.273091540205655,430.0,904.1290837243088,3,462,1
821,31613.0,-95.12029080391572,29.209305829189486,377.0,21136.023741002835,4,650,0
822,24368.0,-95.62403290784016,28.92490359626107,236.0,27628.4699802851,3,645,1
823,31098.0,-95.31747423463013,29.07030789523901,219.0,11541.14260596116,0,145,0
824,15399.0,-94.83734186500533,29.276783679329498,429.0,1508.9229455392356,2,256,0
825,10428.0,-94.78038049233993,29.3074820299192,432.0,875.1619515107644,0,223,1
826,2504.0,-94.74496706588687,29.328505827425026,433.0,3098.8162814805623,2,522,2
827,3119.0,-94.78453489510179,29.294867926824057,434.0,1761.4368736846764,4,315,0
828,4734.0,-94.80491967842974,29.281493274240997,430.0,2962.4224878808836,2,149,1
829,30391.0,-95.33885818620084,29.13507085989974,219.0,17542.486878768235,7,454,0
830,7417.0,-94.8201227321622,29.281968484831967,430.0,2045.4531340076383,2,679,0
831,5878.0,-94.8119622564582,29.293996848764763,429.0,2900.4992185591655,1,381,2
832,26261.0,-95.7656080029802,28.706075347521626,236.0,52948.06203780088,1,148,1
833,1398.0,-94.80307374831872,29.286568905870944,430.0,3554.498609881067,3,89,2
834,30726.0,-95.40840904872123,29.138645560532158,172.0,16257.033855745362,2,457,0
835,8328.0,-94.82091331429092,29.29110242839923,429.0,1848.9397638809908,1,97,0
836,15648.0,-94.83696696749456,29.276230286921134,429.0,1579.89853645132,2,105,1
837,1608.0,-94.79830027068049,29.288254319196067,432.0,3480.3345343223154,5,592,0
838,5181.0,-94.81360570091431,29.29050100403935,429.0,2645.8387148561137,2,512,2
839,23157.0,-95.35842637398609,28.935024579370335,257.0,1313.3609027457699,4,105,0
840,11631.0,-94.77163479926261,29.310265915477274,436.0,517.3197566348884,3,296,1
841,19338.0,-94.89893284652297,29.255848571531917,428.0,5584.723700758716,2,143,2
842,17103.0,-94.84571914012002,29.26127421620959,430.0,2369.163846441479,2,459,1
843,18333.0,-94.85815604842901,29.255428687201306,428.0,3856.775155258855,2,144,1
