OID_,TARGET_FID,JOIN_FID,name,x_cord,y_cord
1,0,187,NRG Park,-95.411016200000006,29.685121599999999
2,1,245,Toyota Center,-95.362217299999998,29.750921300000002
3,2,245,George R. Brown Convention Center,-95.358304000000004,29.751837399999999
4,3,234,M. O. Campbell Educational Center,-95.359976300000000,29.932419100000001
5,4,353,2813 Pansy St,-95.163003200000006,29.670306400000001
6,5,238,Forge For Families Inc,-95.367805000000004,29.704367999999999
7,6,328,206 Shaver St,-95.210847500000000,29.708964200000000
